,content,like_count,comment_count,date
23,"We loved Andy Jassy's top takeaways on what it takes to #reInvent in yesterday's keynote. How is your reinvention going? If you're stuck, here are modern insights and resources to get you going: https://slalom.ws/3lmUru8
Activate link to view larger image.
",32,1,2w •
24,"New on the Slowdown, read more about what's commonly known as the ""bamboo ceiling""—and what businesses can do to take a stance against the model minority myth: https://bit.ly/39s3tCU
Shattering the Bamboo Ceiling
medium.com • 2 min read
",19,1,2w •
25,"Setting up your #AI investment for success isn't easy—you have to build from the ground up. Join experts from Microsoft, Databricks, #Azure, and Slalom to learn how to start by creating a modern culture of data: https://slalom.ws/2Hv9xPx
Activate link to view larger image.
",18,0,2w •
26,"This award takes on a new meaning in 2020—we're always grateful that our people feel like they can bring their full selves to work, but we're especially grateful these days for a supportive culture that makes us a best workplace for parents. Check out the other companies who made the list: bit.ly/2Jy5fat #LoveYourFuture
…see more
greatplacetowork.com • 16 min read
",129,0,2w •
27,"At #reInvent, we're focused on helping customers make real, lasting impacts. Like how The The Autism Alliance of Michigan modernized its data management and directory system, allowing them to quickly connect families and people with autism to essential resources. Read how here: https://slalom.ws/3c5lBSj
…see more
Autism Alliance of Michigan: Helping families navigate a pandemic
slalom.com • 2 min read
",30,0,
28,"Slalom’s first Chief Inclusion and Diversity Officer talks about navigating tough conversations, fulfilling her purpose, and creating space for people to self-reflect and grow. Read her Q&A here: https://slalom.ws/3ngTSCu
Q&A with Iesha Berry: Chief Inclusion and Diversity Officer
slalom.com • 6 min read
",31,2,2w •
29,"Our second Slalom Presents program featured talks with legendary coaches and athletes like Arshay Cooper, who provided timely insights on how to lead your team during challenging times.

As a follow-up to these powerful conversations, we put together insights and resources to help you build more resilient and agile teams. Learn more here:
…see more
Learning from Slalom Presents
slalom.com • 1 min read
",8,0,
30,"It's officially #reInvent! We're excited to help you on your journey to cloud disruption. If you're registered for Amazon Web Services (AWS)'s #reInvent, check out what we've got in store: https://bit.ly/2UWrrh2
Play
Get unstuck with AWS | Slalom Launch Centers
",51,0,2w •
31,"“Slow and steady wins the race” is about the last thing you want to hear when you’re preparing for a #digitaltransformation. But business leaders looking to maintain momentum might want to take a page out of Aesop’s famous fable—learn why on Harvard Business Review: https://bddy.me/2TxBwAm
…see more
Don't Focus on Digital Transformation; Focus on Quick, Strategic Wins
hbr.org • 3 min read
",23,0,3w •
32,"It’s beginning to look a lot like holiday shopping season—but, in 2020, communication and care matter more than ever. Slalom's Annie Rolfe and Rachel Huvard share four ways retailers can capitalize on communication with e-commerce customers: https://bit.ly/3nQxHU7
…see more
Holi-daze: Delivering for e-commerce customers in an unpredictable holiday season
medium.com • 3 min read
",7,0,
